Sentiment,Tweet
4,@Vzers kay. I'm having dinner at papermoon at 830 then aqua after so well meet there 
0,Missing @corublo 
0,I guess I'm being sick again. 
4,@taylorswift13 hahahaa I can so see u doing that &quot;IM ON A BOAT!!!&quot; haha that song is sooo funny 
4,@Monicutza03449 I thought as much 
0,This is not the weather the weather man and I talked about earlier. Where is the sun?! 
0,@arangelheart Yes ma'am.....how quickly we forget 
4,What a lovely day it is here in cupar 
4,yep it's late and my jokes are just plain bad.  i better call it a night. . lol. . have a great evenin all 
4,@daisyjean911 Thanks! I think @EditorNick needs it more than I do...maybe not!! 
0,Will be back when I think everyone is up 
0,@ICsaba Example: http://twitter.com/jpp12 - and some more don't have bio info or seem to use Twitter much 
0,stitchin up some sweet woodgrain print jeans today and tonight!  No partying for me this week 
4,@Jayk_Purdy I love this twitter account so much. 
4,@lil_miss_sneha you've locked msn! hey can you download tone loc - wild thing on to your phone? its the perfecto studying song for monday 
0,"UX London 2009, bar Peter Merholz, seriously disappointing stuff. Most content suitable for Uni students not veteran practitioners "
4,i never thought i would feel like this for someone  its a great but strange feeling first of all but great n scary at the same time ughhhh
4,just realised that one bro is also home. 
4,@Knightbutterfly Hey girl! its raining in Pueblo now? Its still warm here 
4,@blueparrot2 @cherylh77 - what's happened to wurzel? 
0,"lonely , "
4,"@queenzgoddess such a dweeb! lol. I'm chillin. Listening to records trying to find some samples...and tweetin, of course. lol "
4,Out the queue 
0,#iREMEMBER when he loved me 
0,"URGH dad is such an arse, not done something for my epq twice now, wanna slap him. going to pointless college. today is not the one.  xxxx"
0,..year in 10th grade  sucks..
0,i jsut wanted to be like my friends bhut instead  i pooped  [8]
4,"@intelligensia Apparently I refuses to go down without a fight, I and her muleheadedness!! Jump up and do a jig that'll shake up yer day "
4,@krystinascott glad you enjoyed it hunni ^-^ Now I can say the hard job of all the week ended now ^-^ *tired kitty* 
0,"my little brother is so sick, I hope it's not serious! "
0,I am never going to get rid of this cold  how has nobody found a cure for the common cold yet?!?
0,"@fredrikth AF 447 now 3 hrs late into Paris, doesn't look very good "
4,"With a client, haven't slept yet. Met a new business partner, he is a genious. Life is good. "
4,@ my dad's. Got a bunch of stuff for my birthday!! 
0,misses all my friends! 
4,"Allready awake  First confirmation &quot;meeting&quot;.. Then just &quot;be&quot;. Sitting here doing nothing, or something like that.. "
4,completing my nice weekend: nginternet! 
0,@tommcfly oh yeah! tom! please a reply! please please please! say something! 
4,@MzNeceeBabee smiiiillleee u go on vacation in 2 days 
4,@austinburns I didn't want @amandaharkins to think my shit isn't on point. lol... at least this once   Finn's is packed btw .. already.
4,ok Gonna go. leave 4 the store in a few hours. Kisses. and Gud Nite Tweeter.   Bai Bai. Am I saying it rite (bai bai)?
4,@beansprout22 great song! 
0,loves dogeared but is poor 
4,@hippyofdoom lol I know 
4,@LoriBartolozzi @daw69 She better be dragging me behind her in the dust 
0,She lost.  Guess she couldn't hear me.    soooo...onto That 70s Show reruns.
0,1st time playin Poker - was up like a G an lost it all in one hand.      lol....
0,There were 72 applicants for the post of less than 10 guest lectures in our college. Last year there were only 15 applicants. RECESSION! 
0,I hate it when the delorean gets wiped out in back to the future 3 
0,Something is wrong with my twitter app 
4,ATTICS TO EDEN!!!!   &lt;3 &lt;3 In my possession x] Playing on my DVD player  Woop!!!
0,How are these jalepenos not even jalepeno-y? Hot N Spcy Fail... 
0,@pipsterpbn I'm working in my full. I had it perfectly but I tore a ligament in my ankle and was out for a while so I lost it 
0,@chrishawes your head is mine! I hardly had a go last time. 
0,@GreenEyedMammi here's the old guy. Salad is coming  http://twitpic.com/847qv
0,new nap routine not going so well 
0,2 robins in my newly mowed garden. No batmen tho 
4,"http://twitpic.com/6rrh2 - The family  Matt, son Adam and daughter Sherilyn"
4,@temptingmama Thank you 
0,"so sleepy  went to see terminator salvation last night. good film, dozed off for a few minutes during the big fight though. annoying!"
0,"gotta pick alisha and her mom up at the airport tonight.  was supposed to be at 7:30pm, but it was delayed and now it's 10:30pm "
4,@jjsanderson it's not a nightmare ALL the time 
4,@_EdwardCullen_ lol i hope everyone had a good time 
4,donuycana - thanks for the following  http://tumblr.com/x3f1yumh7
4,Im thinking a driving trip of America could be fun 
0,Trying to hold it together while I live this life and continue to make it better. Its not easy 
0,"Had a massive sneeze and just scared the fur off of poor Thor kitty. Sorry, puff!    (vacuums)"
0,@kimbacon word is - very very brutal crackdown. 
4,@venusflesh you're so sweet! Thank u so much! 
0,@KenyaDMorris I feel you on that... I'm about to lay it down in a little bit... despite the fact that my back is in knots like a pretzel 
0,"quite relaxed@home on a sunday.....btw,y arent ppl born adults?children irritate others "
0,End of half term..  EXAM!     :O  :@
4,"Wohoo, swimming with  @snuddeline and friends "
4,"@valdiskrebs @betsymerkel @davidhodgson okay, I thought about it   Zen&quot;direct pointing&quot; is not equivalent to &quot;no future.&quot; What did I miss?"
0,@lrnn unf unf unf i could eat u rn. Ive not eaten like since 10 
0,i do care! and u r importand but i cnt even type words tht make asence im so tired. i love u dont leabe em be 
0,OUCCCCCCCCCCCCCCHHH!!! Just stepped on a plug and then fell down the stairs cause i was in so much pain 
0,"i am kinda lame, i thought maybe we were done with the freakin' rain!! "
0,@jessdupreez it was ok we lost 3-0 
0,POURING down crazy hard rain.....concert plans might get washed away 
4,Just want you guys to know that David Deluise does NOT have a twitter. My t.v. dad is cool but not that cool.  I love him and you guys!
0,"So they are right!!! It is really bad driving while sleepy, just as bad as drinking and driving. Man, being sick and sleepy sucks "
4,"Again I am up at 0530, but I think I will sleep a bit longer today "
4,A yest ! Corrigï¿½ 
4,@ToddBrink  Just followed all 3 of your folks!    Good Morning.
0,super bored. come home now. 
0,just found out who he really is. i feel so betrayed and sad. tomorrow is going to suck. fuck it all 
0,"says sigh, cannot login to steam. so sad  http://plurk.com/p/12efy8"
0,"I hate cloudy days, they seem like they last forever "
4,@surrealimages you know how I do 
0,Going back to work. Hopefully not getting fired 
4,bbq w the neighbours 2nite 
0,god damn hiking boots are expensive 
4,"Bedd Be Back In Da Am ***~~I like her so much, i can't even explain it anymore~~***  "
4,"@robertz The reason to stay indoors is called an essay, Robert. BUT - I am sitting next to an open window over back gardens "
0,@chipperbebe No news as yet  Still on hold is what I gather...
4,Big UPS to my Homie Butter He will be accepting the  &quot;Visionary&quot; Award tonight at Hampton University!  and he earned it 
4,"@bioanarchism you dun think it is slanted, no? "
0,@Tinkabellastar it wasn't boring at all!  I got the biggest kick out of the double speed and the music... it was nostalgic.  my day?  
4,@gordonchiu You're one letter alway!    Koreans don't use &quot;X&quot; so there's no hope for me. 
4,@bram85 oh. is THAT what that was all about. big FAIL on google's part then. 
0,"doesnt know what that boy is pulling, but i dont like it "
0,gosh im such a nobody. i never get replies from celeds. its sad 
4,@RaquelRSanchez thanx you're hella early... like a month early....but thanx babe 
0,"I should have gone to see TBS in Charlotte tonight, except I have no friends to do such things with. "
0,@JPhilipson Oh noes! Now you have to ride one-armed and get really buff only in one shoulder! Hope the pain digresses. 
4,@mc_catarina yes me too! I see a trailer and I can't wait for movie 
0,wants to be on the lake today  its GORGEOUS outside!
4,i'm finally starting to understand twitter. i win. and this empty house is wierding me out. workout time 
4,@j3nnag  You heard it??
4,Speeeeeeeechless 
4,"@BobVanEs yes, and I bet u like porn for the enigmatic backgrounds, thoughtful dialogue, spirituality and wholesomeness "
0,1 exam down 3 to go  advanced functions tomorrow! eep
4,you just got POWNED!!!!!!  &lt;3
0,"@joetheblow An old `schoolfriend` I bumped into,someone we went school with died last yr an she heard it was me "
0,"@dj_overdose Thank you I never saw that one but won't run in the rain again, all I need now is something to stop cars splashing me "
0,witnessed not one but two car accients today 
0,"Wow, i JUST finished my powerpoint for computer apps. blahhh, im gonna be so sleepy when i wake up "
4,@CaffeineFueled Only three cups? I'll have that knocked out by 9:30. 
0,"leaving the races. No wrecks, just a bunch of flat tires "
0,Been up 15min. already having a bad day 
4,@mybabylovebug: sit on your lap? nomnom 
4,"@draml It is absolutely fantastic outside, hope it continues over the weekend, any meetings planned outside? "
0,I still haven't started homework yet  I suck.  Sure wish it was the weekend and that it was raining.  That would make me happy.
0,"aku kbangun gara2 mimpi @manyolitha, very bad dream "
4,@laragreenway Excellent news! 
4,Going to work soon...great...but flying to SF to go to Warped with friends this month! Who else is going??? 
0,"- I think I'm in love, but we have a lot of problems "
4,@adityababbar it was 
4,let the sunshine in 
4,I can't even keep my eyes open. Goodnight  http://myloc.me/29Hu
0,"Oh, once I get paid for this babysitting gig I'm totally sending the DeJesuses money. "
4,@Quimbie08 lmao i know figured that one out lol. YAYYYYYY i AM going tooo!  see yah cuhz
0,Moving upwards. And I also forgot my headphones. 
0,"Just now leaving! 711 then close adrenalynn's place, a drive home then gettin up early to pay a ticket.... "
0,Can you get someone to fix my computer I'm trying to listen to Nova at work... It won't let me 
0,Look at the horrible hills at mile 2.5 and 3.2   http://twitpic.com/8752f
0,@AubreyODay &quot;FUCK!!!&quot; at the top of my lungs...the movers all heard me and made fun of me 
4,last exam tomorrow  then bringing the party to aberdeen!
0,@oprahspinfrey time to put the pt out in the pasture. bullet to the head. 
0,i've just had a bloody (dyswidt?) nosebleed aswell. christ. 
0,@xm0lissa23x awww not you I just knew y'all was gonna make it love  but if you need a friend to talk to you got the number love
4,Changing layout to more summery looking colors 
0,my exam is in 2 hours  wish me luck
0,taking meagan to the airport 
4,@lmceezter it is ridiculously good 
4,@cameronolivier That's just extra in case you need some pixels for later. 
0,I can't find my Cal Nalgene bottle.  I'm sad.   I'm gonna dehydrate and shrivel into a raisin!
4,@whimzie. I'll keep you posted.  
0,i'm nuts. i just got back from westfield to buy coke. lol  bad!
0,"Wow; missed the boat right off the start; Stock is @+3.33% now &amp; not moving. If I had margin, I could sell short. Damn $25k rule. Ideas? "
4,add me on fuseme.in  http://fuseme.in/pg/profile/cathyroo
4,how come only audrey updates twitter. i need to follow more people.... sorry audrey 
4,wow.. tonight I'm going to a cool festival  .. i love it
0,joy never calls me anymore 
0,"@shelliedenise mad?? for why??? lol. we had a little party Sat night. I text you, but you didn't reply  *tear* lol."
0,@tuesday726 sadly no.  brian will bring you back his paella. Is paella a euphemism? Only time will tell.
0,The day is going very bad. 
0,was asleep. Arrrgh! 
0,http://twitpic.com/8cpcx - just missed it 
4,"@fighterofevil soon enough, my friend. I will grill it up for you when you visit "
4,Sooo readyyy for the summerr babyyyy!!!!!!!!! 
0,I had the awesomest dream ever!!!! Except co-starring the wrong person... 
4,@mattgoyer Ahh I see. Thanks anyways! 
0,at work and ready to go home to my comfy cozy bed.  maybe the boss man will let me leave....i feel miserable.  
0,"@ArielRebel bonne nuit d'une autre quebecoise   sheesh, my french stinks after being in the states so long  "
4,resting my sore muscles and babying the first sunburn of the year.  life is good.  
0,Why is my baby growing up? Just tell me WHHHY!?! 
4,@Yellowxander oh good! Glad you're feeling better! ;) got anything good planned for today or a whole bunch of nothing like me 
4,"just got a new kick set, cymbals, and light up drum sticks "
4, some how i just cant stop  I &lt;3 U
4,@DylanJobe Wings fo sho. inFamous will always be there 
0,looking on C# and asp.net code...  but looking forward for my one year old jacket project.
4,@banerji1 Turn off the computer! Sleep will follow. 
4,"Wanted to watch the MTV Movie Awards, but will probably settle for the replay. Good night everyone! "
4,is wearing her new dress 
0,had a great time at the lake but I'm burnt 
0,"@Nuff55 u tell me where in the world there is real freedom and I'll support it, seen too much of this, same mistakes over and over again "
4,@loritodd your topic could be iPhone app design 
4,@Uk_joedan_fan That sounds lovely. Hope it goes well. 
4,"@TrollNation Be safe and have a great time on your odyssey, Jordan! Looking forward to your tweets along the way. "
0,laughed at passing car loudly (&amp; proudly) playing Bomfunk MC's &quot;Freestyler&quot;. Then the car pulled into my carport. It was my roommate 
0,Late night walk. Saw some poor guy get a parking ticket  Bummer...
4,YAY! Ashley Tisdale's new album has leaked. 
4,@ladyysav hey savannah what are you up to girl? 
4,Watching a movie staying in 4 the night  had a great time with the family chivo was banging love u guys
4,is going to make the most of the lovely weather today and take the girls on the park with a picnic for lunch 
4,just had dinner. now having corn soup 
4,@freddurst Hahaha.. I've got the same picture with a few friends and I've done Borland's pose  The Al Bundy pose
4,@bonecrusher82 ill be there guest skating for hard 
0,Really Really bad week 
4,@LampshadeJungle @Hah_Beeb I have a rq from @UneBelleFemme for you coolies to follow her. She super cool 
0,Drinking coffee.. Woa its hot... I Need a new book! 
0,Missing my puppies and wanting to go home. 
0,it still hurts 
4,Yeah nearly hometime - back to Manchester  leaving 'that' London!!
4,@rivastarr your fuckin killing it in our hometown bra  great toooooooooooons
4,@elfia thank you! hope to see u soon comadre! 
4,@bethharperwalsh @TaiLi22 @thesolutions @hippiekat from g's to gents season 1 
4,"@07thking Good Morning, K!  http://myloc.me/25p4"
4,@affurrocks Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip 
0,I've spent too much money on drinks tonite and my feet are killing me from going to Lovelast nite  I wouldn't call this a good nite out
0,@FlipDutyOE Yall not answering my questions 
0,@jeffparks all my pod casts got wiped out  i messed uo my ipod. hopefully i can recall what three i have not listend to.
4,"@ginoandfran Last shout out to my friends in NYU, Spring valley and W. Nyack NY. All the best   (GinoandFran live &gt; http://ustre.am/2YwT)"
4,@gen_rox :p hope your having fun.   kiss kiss
0,really wishes i could do more.. 
4,@xxitslovexx yesum. I'm watching a movie with my friend 
0,My 360 is dead  http://raptr.com/DJbruce
4,"@HanaStephenson wow.. http://tinyurl.com/cezmd8 this is amazing! ah okay, I love shopping too "
4,Just keep it real boy ;)Love u(L. Mum &amp; dad  miss you see you in 2 weeks or 10 days 
0,@nick_carter On second thought...I don't love you anymore. 
4,I'm wondering how many people will show up for the event If there's going to be as many as I think it's gonna be really fun  WAR FTW
4,"Burnt, Crispy, Scorched and all those words for SUNBURN! When will i learn  im a ginge i dont tan!"
4,@deanomarr Morning! Like your new pic! 
0,I just saw one of my friends pass through and ignore me 
0,@Batgirlbabs ooh welcome to my reality! Are you ok? 
4,is about to go home 
4,@JohannaBD *sigh* they don't make songs like they used to huh? 
4,Thanks for following us! Please take 15% off our handmade finds with code TWEET15 at http://shop.feyhandmade.com 
0,are there any canadian Cover Girls? .. 
4,"Falling asleep with Dean Koontz, The Husband "
0,"I don't think that im feeling too well. all the sudden, im tired but scared to fall asleep cuz I know I will wake up sick. "
4,@superhussy You just did. Start with that line. &quot;How can I write this much love&quot; It will come to you 
4,"@hopeinhell no, lemon cheesecake is more effective "
0,Ð?Ð¸ÑÑÐ¾ Ð¾Ð´ Muse Ð½Ð° Ð±Ð°Ð»ÐºÐ°Ð½Ð¾Ð²... http://www.muse.mu/ 
0,@jaybrannan I so agree!!!! Ulah!! 
4,"good news, no permanent damage  to ears! still red but ear drums are intact  need some rest b4 going back into the water though #diving"
0,@TimothyH2O and is the leighton video up or what ? you said you were gonna update me 
4,"@Ozquilter yes, excellent coffee is available in Bali+Lombok, but tea offered everywhere: have just started 2 get into tea 'varieties' "
0,i have to make a toga today  then i have to move some of this so i can afford some wine....geez life on the city strizugg.
0,DAMN IT!! thunder and rain 
0,Ugh soc teacher is starting to become one of those profs who is always fucking late 
0,Afternoon everyone! What a minging day... it makes me blue 
4,@betty477 Nevermind..I'm an idiot.  Just ready ur twitter.  Guess it was tonite &amp; it's late..I should sleep.  c u soon!  
0,@Arvon1 yea I'm here now 
0,@galleysmith me too.  I wish I could borrow a copy from someone  I know I'd probably finish it in a day
0,@mindywhite  why must you like the yanks
4,@chichi7391 thank you. 
4,"@mrsjberry I'm glad I make sense to someone, even if only a little. "
0,":O final episode of boston legal, ever? no! "
0,@mylostshadow pai mai multe date-s pe site. http://www.transparency.org.ro/ - acum au terminat recrutarea unfortunately 
0,converse followed by stilettos = serious foot pain 
0,@noodleblue ur v best-est-est-est-est Nic!! id say sum1 already beat me 2 v signed pic though...   
4,@thereallizard Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip 
0,field trip wont be the same without u lexi! cant wait for 2marrow alis on my bus still have to take the stupid inhaler at 2:30 
0,@slyabney When? I can't at all this weekend?  
0,I need to get of this computer. I have tons of laundry to put away! 
0,My head feels heavy.  - http://tweet.sg
0,Got woken up by thunder must go back to bed 
4,another boooootiful sunny day i think i shall b sitin in the garden readin Eclipse 
4,Slept for 17 hours. Feel like I need to sleep some more 
0,"Just got done filling in for Pat for Sat night worship, now working on a lame school project "
0,"yeah, i really kinda don't feel like it tonight. see you bitches tomorrow, then. "
0,body kills from tubing and sunburn 
0,awake and bored. no plans today at all 
4,"@WebDesignerMag yeah its nice, i like "
0,@shawnwrites Thanks Shawn. In the UK only Vodaphone is presently supported. It used to work for all telecom but they put the kibosh on it 
4,@arobd when I'll be in a island I'll do that. 
4,"great night @stefangilbert, @mitchblack, and @shanegrant. Thanks fo the great games of Halo  "
0,Goin through X360 withdrawal...I just put her in the box to be fixed 
0,Slipped up and caught the flu  feeling like poop!
0,Seems i will not be able to attend @abuarja session about ASP.NET MVC  ...me no like this!
0,@nickCHOLASXD I miss you 
4,wewentto the park and ate icecream... what a relaxing day 
4,Charlie Bones is so happy when his Mommy gets home from work!!!!     http://apps.facebook.com/dogbook/profile/view/6828112
4,Woo first person to crowd surf 
4,@koltregaskes have a good walk 
0,@cherylmuhr OH NO!!!  Hope you are ok 
0,@clausm @melkeveimagnus I screwed up my audition and didn't make the cut 
0,It was a moment of weakness and you said yes 
0,Sure gonna miss my buddies when they leave tomorrow 
0,"So much for just an oil change... Do not pass Go, do not collect $200, lose $160 "
0,"@MyBottlesUp yeah, I had to give up on it last night - it wouldn't tweet at all.. "
4,"@theroser @riskybusinessmb @iamthecommodore @thepistol Thank You again for today, we'll see you this summer "
0,Musn't forget to take little Oliver to the vets tomorrow. Not looking forward to coaxing him into his carry-cat-box 
0,@LisaTurtle_LBJ I'm so sad I'm missing it Please give Tati and Sam LOVE from me. Jadyn and I are sick  and so are Liris and Akira 
0,@applegirl there to greet you when you come home too or no?! 
0,Not going to work out today  no time i have lots of hw and studying to do ahh!!!!
4,listening to music and singing along while i get ready to enjoy this fab day!!!!who ever thought it would be warm here?bye bye gloves 
4,"@crbill Will do.  And if you want &quot;my thinking&quot; &gt; 140 char., I have a tendency to go on here: http://mymommymanual.com/"
0,"@WillendorfVenus oh Willy.  How are you supposed to work full time, raise boy, pets, AND landscape? People suck."
0,I hate the doctor and I hate needles!!! I would rather get a million more tattoos than have a doctor draw my blood 
0,"Off to Big Lots w/ the SO to hunt for some bargains. Feel a little bad, but the wallet is pinched right now. Can't shop local today. "
4,@TiffanySchmidt Woohoo! 9 left! You can do it! 
4,@THEREALSWIZZZ Whats up Swizz..! Havn't seen u in a while.. Talked to tha L a few days ago.. Yonkers Famm seems to be doin aight..! 
0,"Avocets are ar RSPB Conwy, and an Osprey flew over this morning. Missed that  "
4,"At the venue Olympia in Paris, sound check soon. What a great place.. incluting free massage... Yep, MeMe MeMe "
4,How about a mix of fresh mangoes + jackfruit icecream as dessert  sounds yummy #fb
0,"@PhillipQuin i want mint chocolate biscuits  my fave ( vegan tim tams are ok, but no mint ones."
0,@helenkeomany i need black pants 
0,you know when you run out of websites to go to? and you're really trying to think of one you're forgetting?! and u realize theres none 
4,Relaxin on a sunday watchin movies with Ali 
0,@souljaboytellem &amp;&amp; @drakkardnoid bish'd B-More by not havin us on the itinerary for the America's Most Wanted Music Festival 
4,@playspymaster I want an invite 
4,"@OwainBetts chainreaction are one of the suppliers  http://tinyurl.com/c4xyxs - and the prices are in a sale and just for the frame, ouch "
4,i love that butterflies surround my backyard 
4,@Aerodynamix hey thanks for the FF love! 
4,"@Jonnoiiii Good, i liked the good 'ol days "
4,3tera - Cloud computing for web applications http://3tera.com. #datacenter coming soon in India too 
0,"@carlosevia You and your students apparently.  That too on a Sunday!  Psst: don't answer it, they'll get the message eventually."
0,really want that thing badly!!! 
4,ArmySniper24 but that weaopon is already on the game lol iam basically saying give us more weapons lol a wider range 
4,@thisgirln @ohsoshiny thanks for being my agents/producers/heffers/approvers/groupies  ilulongtime
0,English Premier League (soccer) is over and Cavs are out of the NBA playoffs.  I now have no sports to watch for the next few weeks 
0,@beeches101 sweet i'm excited to i had a terrible day 
0,@downwithdesign 
4,NO MORE FUCKEN IVISIBLE MAN  FINALLY I CAN GET RID OF THAT SHIT!!!
0,why oh why Ã© o sims 3 tÃ£o viciante..? 
0,Post conference call munchies 
0,just back frm gruelling training session.for 6 hrs ...so tired .. 
0,"@briethehippo NEVER EVER! Are you still voting for him, bb?? Fucking McFly is waaaaay ahead ugh! "
4,"You're their biggest fan, @jennysunphoto! Must get you commissions for it.  I trust you over @P1canornot &amp; @P1Media :p"
0,seriously this coughing only at night thing is getting really old!!! 
0,@steffaneelove aww that's too bad  but YAY! really?! that's awesome maybe you can find her and reconnect D
0,@Violetlilly They've been making horrible choices lately. I am not that into this Bachelorette  Still watch but not my fav
4,"@Huffleduck So, the rule is to never shop while hungry, or you buy too much... does that also apply for ordering for delivery? "
0,@taylorswift13 i wanna watch but i can't cuz i live in pittsburgh and there is a hockey thing on cuz the penguins are in the stanley cup 
0,"fighting with my outlook rules &amp; alerts, need to raise support ticket as this behavior is screwing my workflow "
4,taking tomorrow off - looking forward to resting and healing 
0,"@mcantor Crap, how did I do that?  I totally thought Blink was first.  Must have messed up the pub dates in my brain "
0,is annoyed that whenever I get updates from Sprinkles I'm never in Dallas to use them.   
4,@jillriter Thanks 
4,Uh oh! Don't give me chips...I'll use 'em!! Over 20k now after nice 4-way scoopie action...gotta love all the loose action   chip av 10.5k
0,Moving amd being sick sucks! Voice still not totally back. 
0,@johnnymetro was just thinking about it at work tonight. still sorry dude. 
4,To my followers that have stayed: You guys are great  Thank you! ^^
4,is stoked for spring! Amazing wild foods! Nature is abundant~bless up!!! 
4,"MTV MOVIE AWARDS TONIGHTT!!!!! And kristen stewart looks lovely, so does ashley greene "
0,Is downered.... Uni Application sucks! Wish there was a way to make things better.....  
0,@JMash2009 boy u crazy I needa batman 
4,@CoachIyabo @Debbystars @Rosentreter @jennaferfm @J_Dalgliesh @AngelikaSielken @Lightcoaching @ArteDeb @MoneyMakeover2 more #FF Thx! 
4,im bout to take some drugs and get back under these covers!...after i eat some noodles 
0,I can't install Tweetdeck on my laptop because it thinks Adobe Air isn't installed. 
4,i'm gonna try to wash my doggy... hopefully she doesn't give me a shower 
0,No #beertweetup in bangalore?? 
0,Doin Homework  &amp; The Weather Is Crap :@  lol Oh Well
0,Special thoughs &amp; prayers who I going thru this day 4 the 1st time without their mothers presence. 
4,@outoftheline Muhahaha.  Find ich gut. ^^
0,@fhd86 ana still downloading  ba6eeeee2
4,I love grease 
4,is there a doctor in the house?  we made it through to graduation. awaiting the official transcript though!
0,@bookwoman60 Evenings are usually pleasant here too. I normally swim after dinner.  Can't tonight because of adding chemicals though.  
0,my face got swollen again.... major 
0,@IsabelSantiago so weird i cant dm you 
4,@SDuPreeBemis  can't wait to hear it! 
4,Okay.. Time to sign off..@jaelchng  #twedding
0,@mileycyrus congratulations!  you had the best song and the Breakthrough Performance - Female 
4,"@SaraBareilles who does that? so rude! hey, remember that one time we drank a lot &amp; did kareoke on m5/cc? fun times. hope you are well "
4,"@paupaula Weee I'm intrigued  Haha... Sure thing,P!"
0,"after a nice morning holding hands at the farmer's market and dress shopping, back to paper writing. ugh "
4, @stevijean yeahuhh
0,"Ahhhh! The cottonwood trees are killing me right now, stupid allergies!  "
0,Sitting at home alone 
4,Bangalore has such a beautiful weather...and amazing coffee too 
0,I have no will power as it comes to loosing wait and spending money 
4,@_Cheshire_Cat_  twitpic ?  twitter promete opiniones sinceras
4,Law of Attraction Creations: Law of Attraction Creations for today  http://bit.ly/r6lph
0, edge employees already got paid.
4,LOL ~ I'm going to switch the vibe again soon ~ back to jazz for all of the jazzheads quietly grumbling... 
4,It's my birthday! 
4,@mileycyrus oooo I like that idea 
4,A week from tomorrow. 
4,coffee..... 
4,"hold your kids close and tell them you love them everyday, the most precious gift from God you will ever get. Have a blessed day  ?"
0,I guess I poisend myself by cleaning the bathroom. 
4,"@makinherownway aww. i really wana go to 3Oh!3, The Acadmey is n you me at six  but i think im goin 2 SS n the getaway plan is in 2wks "
4,had a fun-filled and laughter night! haha! 
4,"@tamelle Ah, it's the podcast that is live today! So cool!  Really, you GL folks are so intense, I'm still getting used to it!"
0,"that movie was GREAT, but soooo saddening! "
4,Welcoming @BarbaraJWalters to TWITTER!!! hey Babs luv you keeping Liz in line 
0,"wow I never go on here anymore, probably cause my life sucks! YES! "
0,"@lisanoelruocco you know by saying that, this week will drag on.   i want it to be next tuesday, so i hear ya. good luck on your exam. "
0,@MadBlackPoet nah it's my lil secret... Sorry 
4,all prepared by me from my kitchen and fabulous grill 
4,"Another beautiful day on Whidbey Island, enjoy "
4,"@robertbasic heyllo neighbour! yes, yes  updating a little bit.  you should confirm on gmail, i couldn't "
0,"@tarafied  i can take her for one night ha. she would scream the whole time, but i'm sure sleep assuages any guilt you'd feel."
0,@ollyog tried again and failed  you using ie haha?
0,Just got home i really want to go to my dads 
0,my throat hurts 
0,@alliemarque dam for real 
0,"BBQ called off, cause of the weather  but chill is cooking as we speak . O and 'garlic bread'"
0,"@ladyprivy take good notes!  I wanted to go, but have to study. "
4,"@sandwiched Mine used to attack them. Now, two kids later (and, I think, old age), he pretty much leaves them be "
4,@mikasounds good luck tomorrow night! I cannot wait til the London show 
4,Then Im gonna do a bit of shopping for the Cork trip next week. Oh and its sunny out today too 
